id,Fragment,nodes,edges,s_abs,s_rel,c_abs,c_rel,is_valid
317,N(-C-C=C(-C-C)-C1=C=C2=C(-C(=C=C=C)=C)=C=C=N=C=2=N=1)-C,21,22,138,12.695492,4,1.6460905,False
318,N(-C-C=C(-C-C)-C1=C=C2=C(-C(=C)=C=C=C)=C=C=N=C=2=N=1)-C,21,22,138,12.695492,4,1.6460905,False
319,N(-C-C=C(-C-C)-C1=C=C2=C(-C=C)=C=C=N=C=2=N=1)-C,18,19,144,13.24747,4,1.6460905,False
321,N(-C-C=C-C=C=C=C=N=C)-C,11,10,204,18.76725,4,1.6460905,False
322,N(-C1=N=C(-C=C=C=C)=C=C=N=1)-C,12,12,109,10.027599,3,1.2345679,False
323,N(-C1=N=C(-C=C=C)=C=C=N=1)-C,11,11,110,10.119596,4,1.6460905,False
324,N(-C(=N=C-C=C=C=C=C)=N=C)-C,12,11,114,10.48758,3,1.2345679,False
325,N(-C(=N=C-C=C=C=C)=N=C)-C,11,10,115,10.5795765,3,1.2345679,False
326,N(-C(=N=C-C=C=C)=N=C)-C,10,9,116,10.671573,4,1.6460905,False
327,N(-C(=N=C(-C1=C2=C=C(-C(-C-C)-C)=N=C=2=N=C=C=1)=C)=C)-C,20,21,117,10.76357,4,1.6460905,False
328,N(-C(=N=C(-C1=C2=C=C(-C-C-C-N)=N=C=2=N=C=C=1)=C)=C)-C,20,21,110,10.119596,2,0.82304525,False
329,N(-C=N=C(-C(=C=C=N=C)=C)=C=C)-C,13,12,110,10.119596,4,1.6460905,False
330,N(-C=N=C(-C(=C=C=C(-C(-C)-C)=N)=C=C)=C)-C,16,15,118,10.855566,4,1.6460905,False
331,N(-C=N=C=C=C-C=C=C=C=C)-C,12,11,115,10.5795765,3,1.2345679,False
332,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C-N)=C-C)=C(-C)=C=3=2)=C=C=C=C=1,24,26,124,11.407544,4,1.6460905,False
333,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C(-C)=C=3=2)=C=C=C=C=1,23,25,149,13.707452,4,1.6460905,False
334,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C(-C)=C=3=2)=C=C=C=C=1,22,24,158,14.5354185,4,1.6460905,False
335,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C-N)=C-C)=C=C=3=2)=C=C=C=C=1,23,25,125,11.49954,4,1.6460905,False
336,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C-C)=C-C)=C=C=3=2)=C=C=C=C=1,22,24,150,13.799448,4,1.6460905,False
337,N(-C)-C1=C(-C2=C=C=N=C3=N=C(-C(-C)=C-C)=C=C=3=2)=C=C=C=C=1,21,23,159,14.627415,4,1.6460905,False
338,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C-N)=C-C)=C(-C)=C=2=1)=C=C=C,23,24,128,11.775529,4,1.6460905,False
339,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C)=C-C)=C(-C)=C=2=1)=C=C=C,22,23,153,14.075437,4,1.6460905,False
340,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C)=C-C)=C(-C)=C=2=1)=C=C=C,21,22,162,14.903404,4,1.6460905,False
341,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C-N)=C-C)=C=C=2=1)=C=C=C,22,23,129,11.867525,4,1.6460905,False
342,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C-C)=C-C)=C=C=2=1)=C=C=C,21,22,154,14.167434,4,1.6460905,False
343,N(-C)-C=C(-C1=C=C=N=C2=N=C(-C(-C)=C-C)=C=C=2=1)=C=C=C,20,21,163,14.9954,4,1.6460905,False
345,N-C-C-C(-C1=N=C2=N=C=C=C(-C3=C=C=C=C=C=3-N)=C=2=C=1-C)=C-C,23,25,125,11.49954,4,1.6460905,False
